OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,
1,"France: Domestic, inbound and outbound tourism",,,,,
 ,,,,,,
 , ,2017,2018,2019,2020,2021
 ,"TOURISM FLOWS, THOUSAND", , , , , 
 ,Domestic tourism, , , , , 
 ,Total domestic trips,276 537,268 152,299 315 |,212 547,252 240
 ,Overnight visitors (tourists),191 636,189 755,207 624 |,152 119,187 321
 ,Same-day visitors (excursionists),84 901,78 397,91 691 |,60 428,64 919
 ,Nights in all types of accommodation,895 659,897 591,921 767 |,768 138,865 396
 ,Hotels and similar establishments, .., ..,306 077 |,235 128,277 539
 ,Other collective establishments, .., ..,87 991 |,64 311,77 925
 ,Private accommodation, .., ..,527 698 |,468 699,509 932
 ,Inbound tourism, , , , , 
 ,Total international arrivals,207 274,211 998,217 877,117 109,141 297
 ,Overnight visitors (tourists),86 758,89 322,90 914,41 684,48 395
 ,Same-day visitors (excursionists),120 516,122 676,126 963,75 424,92 902
 ,Top markets, , , , , 
 ,Belgium,10 448,10 507,11 854,7 203,8 314
 ,Germany,12 256,12 272,13 606,6 447,7 515
 ,Switzerland,7 013,6 772,6 506,3 657,4 750
 ,Spain,6 753,6 734,6 730,3 242,4 735
 ,Netherlands,4 307,4 730,5 599,3 799,3 935
 ,Nights in all types of accommodation,582 100,596 784,619 887,298 289,375 456
 ,Hotels and similar establishments, .., .., .., .., ..
 ,Other collective establishments, .., .., .., .., ..
 ,Private accommodation, .., .., .., .., ..
 ,Outbound tourism, , , , , 
 ,Total international departures,44 265 |,48 069,52 542 |,20 803,21 366
 ,Overnight visitors (tourists),29 055,30 509,38 301 |,11 461,13 108
 ,Same-day visitors (excursionists),15 209 |,17 560,14 241 |,9 342,8 258
 ,Top destinations, , , , , 
 ,Spain,4 429,4 526,6 175 |,1 652,2 990
 ,Italy,3 192,3 311,3 847 |,1 149,1 556
 ,Belgium,1 660,1 727,2 012 |,998,931
 ,Portugal,1 555,1 627,1 906 |,642,876
 ,Germany,1 372,1 472,1 509 |,532,686
 ,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
 ,Inbound tourism, , , , , 
 ,Total international receipts,59 612,61 555,63 304,31 444, ..
 ,International travel receipts,52 097,55 490,56 730,28 510, ..
 ,International passenger transport receipts,7 515,6 065,6 574,2 934, ..
 ,Outbound tourism, , , , , 
 ,Total international expenditure,47 443,50 164,53 405,27 367, ..
 ,International travel expenditure,38 949,41 978,45 148,24 319, ..
 ,International passenger transport expenditure,8 494,8 186,8 257,3 048, ..
..,Not available,,,,,
|,Break in series,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,
