OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,,
2,France: Enterprises and employment in tourism,,,,,,
 , ,Number of establishments  (1),Number of persons employed  (2),,,,
2020,2017,2020,2017,2018,2019,2020,2021
 ,Total, ..,1 361 019,1 382 831,1 495 842 |,1 340 078 p, ..
 ,Tourism industries,333 350 p,1 344 350,1 367 134,1 495 842 |,1 340 078 p, ..
 ,Accommodation services for visitors,55 287 p,214 866,216 623,233 270 |,194 278 p, ..
 ,Hotels and similar establishments,20 671 p,173 445,176 046,178 728 |,147 310 p, ..
 ,Food and beverage serving industry,200 397 p,691 794,710 313,860 291 |,782 305 p, ..
 ,Passenger transport,3 902 p,271 747,274 683,200 638 |,183 894 p, ..
 ,Air passenger transport,632 p,60 867,60 809,61 189 |,57 439 p, ..
 ,Railways passenger transport,13 p,165 708,167 493,94 533 |,84 476 p, ..
 ,Road passenger transport,2 229 p,35 461,36 202,34 208 |,31 386 p, ..
 ,Water passenger transport,1 028 p,9 711,10 179,10 708 |,10 593 p, ..
 ,Passenger transport supporting services, .. p, .., .., .., .., ..
 ,Transport equipment rental,4 541 p,14 197,14 518,14 408 |,12 970 p, ..
 ,Travel agencies and other reservation services industry,9 361 p,45 210,45 549,46 101 |,39 563 p, ..
 ,Cultural industry,908 p,12 904,13 000,14 371 |,13 342 p, ..
 ,Sports and recreation industry,58 954 p,93 632,92 448,126 763 |,113 726 p, ..
 ,Retail trade of country-specific tourism characteristic goods, .., .., .., .., .., ..
 ,Other country-specific tourism industries, .., .., .., .., .., ..
 ,Other industries, ..,16 669,15 697, .., .., ..
..,Not available,,,,,,
|,Break in series,,,,,,
p,Provisional data,,,,,,
1.,Data refer to number of enterprises.,,,,,,
2.,Data refer to number of employees.,,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,,
