OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,
1,"Germany: Domestic, inbound and outbound tourism",,,,,
 ,,,,,,
 , ,2017,2018,2019,2020,2021
 ,"TOURISM FLOWS, THOUSAND", , , , , 
 ,Domestic tourism, , , , , 
 ,Total domestic trips, .., .., .., .., ..
 ,Overnight visitors (tourists),135 005,140 494,151 381,85 696,85 146
 ,Same-day visitors (excursionists), .., .., .., .., ..
 ,Nights in all types of accommodation,318 052,332 594,347 694,229 025,235 371
 ,Hotels and similar establishments,291 279,302 831,316 631,197 243,204 071
 ,Other collective establishments,26 773,29 763,31 063,31 783,31 300
 ,Private accommodation, .., .., .., .., ..
 ,Inbound tourism, , , , , 
 ,Total international arrivals, .., .., .., .., ..
 ,Overnight visitors (tourists),37 307,38 748,39 563,12 449,11 688
 ,Same-day visitors (excursionists), .., .., .., .., ..
 ,Top markets, , , , , 
 ,Netherlands,4 588,4 717,4 820,2 282,2 038
 ,Switzerland,3 185,3 311,3 399,1 404,1 208
 ,Austria,1 976,2 064,2 116,820,842
 ,Denmark, .., .., ..,692,704
 ,United States,2 808,2 969,3 057,594,701
 ,Nights in all types of accommodation,83 111,86 962,89 261,31 733,30 732
 ,Hotels and similar establishments,78 833,82 167,84 568,29 562,29 094
 ,Other collective establishments,4 278,4 794,4 693,2 171,1 638
 ,Private accommodation, .., .., .., .., ..
 ,Outbound tourism, , , , , 
 ,Total international departures,194 276,208 172,212 143,103 117,100 720
 ,Overnight visitors (tourists),92 402,108 542,99 533,36 867,48 667
 ,Same-day visitors (excursionists),101 874,99 630,112 610,66 250,52 053
 ,Top destinations, , , , , 
 ,Austria,11 275,14 396,11 718,7 494,7 252
 ,Italy,10 973,13 573,11 633,4 151,7 552
 ,Netherlands,5 673,7 413,7 091,4 082,3 459
 ,Spain,11 093,11 672,10 985,2 716,5 414
 ,France,6 231,6 143,6 468,2 653,3 383
 ,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
 ,Inbound tourism, , , , , 
 ,Total international receipts,35 493,50 642,37 344,19 331, ..
 ,International travel receipts,35 282,36 391,37 344,19 331, ..
 ,International passenger transport receipts,14 471,14 251, .., .., ..
 ,Outbound tourism, , , , , 
 ,Total international expenditure,78 865,88 141,83 292,34 029, ..
 ,International travel expenditure,78 839,80 934,83 292,34 029, ..
 ,International passenger transport expenditure,26,7 207, .., .., ..
..,Not available,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,
