OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,,
2,Germany: Enterprises and employment in tourism,,,,,,
 , ,Number of establishments  (2),Number of persons employed,,,,
2021,2017,2021,2017,2018,2019,2020,2021
 ,Total, .., .., .., .., .., ..
 ,Tourism industries,29 410,2 122 014,2 179 830,2 145 026,1 546 927, ..
 ,Accommodation services for visitors, ..,1 760,1 806,1 752,1 335, ..
 ,Hotels and similar establishments,29 410, .., .., .., .., ..
 ,Food and beverage serving industry, ..,1 482 155,1 517 082,1 493 927,999 938, ..
 ,Passenger transport, .., .., .., .., .., ..
 ,Air passenger transport, ..,55 786,58 380,59 568,59 167, ..
 ,Railways passenger transport, .., .., .., .., .., ..
 ,Road passenger transport, ..,465 354,482 486,469 768,399 433, ..
 ,Water passenger transport, ..,9 732,10 007,9 742, .. c, ..
 ,Passenger transport supporting services, .., .., .., .., .., ..
 ,Transport equipment rental, .., .., .., .., .., ..
 ,Travel agencies and other reservation services industry, ..,107 227,110 069,110 269,87 054, ..
 ,Cultural industry, .., .., .., .., .., ..
 ,Sports and recreation industry, .., .., .., .., .., ..
 ,Retail trade of country-specific tourism characteristic goods, .., .., .., .., .., ..
 ,Other country-specific tourism industries, .., .., .., .., .., ..
 ,Other industries, .., .., .., .., .., ..
..,Not available,,,,,,
c,Confidential data,,,,,,
1.,Data for hotels and similar establishments refer to number of establishments.,,,,,,
2.,Data refer to number of enterprises.,,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,,
