OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,
1,"Italy: Domestic, inbound and outbound tourism",,,,,
 ,,,,,,
 , ,2017,2018,2019,2020,2021
 ,"TOURISM FLOWS, THOUSAND", , , , , 
 ,Domestic tourism  (1), , , , , 
 ,Total domestic trips,121 851,145 307,132 858,74 654,73 000
 ,Overnight visitors (tourists),53 647,62 861,54 253,34 130,37 183
 ,Same-day visitors (excursionists),68 203,82 446,78 604,40 524,35 817
 ,Nights in all types of accommodation,209 970,212 334,216 077,143 003,183 055
 ,Hotels and similar establishments,176 666,179 432,188 592,122 346,158 150
 ,Other collective establishments,33 305,32 903,27 485,20 658,24 905
 ,Private accommodation, .., .., .., .., ..
 ,Inbound tourism, , , , , 
 ,Total international arrivals,89 931,93 229,95 399,38 419,40 186
 ,Overnight visitors (tourists),58 253,61 567,64 513,25 190,26 888
 ,Same-day visitors (excursionists),31 678,31 661,30 886,13 229,13 298
 ,Top markets, , , , , 
 ,Germany,12 451,13 518,13 951,5 161,4 604
 ,France,7 202,7 641,7 978,3 687,3 910
 ,Austria,3 690,4 020,4 309,2 034,2 488
 ,Switzerland,3 309,3 216, ..,1 561,1 415
 ,United Kingdom,4 932,5 659,6 006,1 756,909
 ,Nights in all types of accommodation,365 939,384 426,398 963,182 214,208 525
 ,Hotels and similar establishments,170 412,177 738,175 649,54 228,53 537
 ,Other collective establishments,56 659,66 547,73 335,25 543,32 700
 ,Private accommodation,138 868,140 141,149 980,102 444,122 288
 ,Outbound tourism, , , , , 
 ,Total international departures,60 042,61 195,62 207,21 448,17 588
 ,Overnight visitors (tourists),31 805,33 347,34 703,11 960,12 354
 ,Same-day visitors (excursionists),28 237,27 848,27 505,9 489,5 234
 ,Top destinations, , , , , 
 ,France,5 525,5 787,5 631,2 522,2 667
 ,Spain,3 120,3 567,3 694,943,1 648
 ,Germany,2 769,3 048,3 517,1 396,1 155
 ,Austria,2 219,2 191,2 327,1 025,709
 ,Switzerland,1 565,1 182,1 193,596,526
 ,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
 ,Inbound tourism, , , , , 
 ,Total international receipts,41 038,43 860,46 440,17 708, ..
 ,International travel receipts,39 155,41 712,44 302,17 332, ..
 ,International passenger transport receipts,1 884,2 148,2 138,376, ..
 ,Outbound tourism, , , , , 
 ,Total international expenditure,30 649,31 972,33 896,11 455, ..
 ,International travel expenditure,24 557,25 485,27 100,9 577, ..
 ,International passenger transport expenditure,6 091,6 487,6 796,1 878, ..
..,Not available,,,,,
1.,Trips from demand side surveys; Nights from supply side surveys.,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,
