OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,,
2,Italy: Enterprises and employment in tourism,,,,,,
 , ,Number of establishments,Number of persons employed,,,,
2021,2017,2021,2017,2018,2019,2020,2021
 ,Total, .., .., .., .., .., ..
 ,Tourism industries, ..,2 099 565, ..,2 136 578, .., ..
 ,Accommodation services for visitors,220 457,504 030, ..,524 528, .., ..
 ,Hotels and similar establishments,217 889,302 488, ..,315 698, .., ..
 ,Food and beverage serving industry, ..,1 075 932, ..,1 080 934, .., ..
 ,Passenger transport, ..,182 534, ..,184 591, .., ..
 ,Air passenger transport, ..,14 033, ..,15 172, .., ..
 ,Railways passenger transport, ..,31 194, ..,31 001, .., ..
 ,Road passenger transport, ..,99 196, ..,96 887, .., ..
 ,Water passenger transport, ..,38 111, ..,41 531, .., ..
 ,Passenger transport supporting services, .., .., .., .., .., ..
 ,Transport equipment rental, ..,10 931, ..,12 948, .., ..
 ,Travel agencies and other reservation services industry, ..,48 607, ..,52 051, .., ..
 ,Cultural industry, ..,128 322, ..,135 758, .., ..
 ,Sports and recreation industry, ..,149 209, ..,145 768, .., ..
 ,Retail trade of country-specific tourism characteristic goods, .., .., .., .., .., ..
 ,Other country-specific tourism industries, .., .., .., .., .., ..
 ,Other industries, .., .., .., .., .., ..
..,Not available,,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,,
