OECD Tourism Trends and Policies 2020 - © OECD 2022,,,,,,
1,"United States: Domestic, inbound and outbound tourism",,,,,
 ,,,,,,
 , ,2017,2018,2019,2020,2021
 ,"TOURISM FLOWS, THOUSAND", , , , , 
 ,Domestic tourism, , , , , 
 ,Total domestic trips,2 241 000,2 278 000,2 318 000,1 580 000,2 040 000 f
 ,Overnight visitors (tourists),1 591 916,1 613 987,1 646 614,1 122 368,1 449 134 f
 ,Same-day visitors (excursionists),649 084,664 013,671 386,457 632,590 866 f
 ,Nights in all types of accommodation, .., .., .., .., ..
 ,Hotels and similar establishments,1 257 616,1 286 662,1 306 439,839 532,1 157 503 p
 ,Other collective establishments, .., .., .., .., ..
 ,Private accommodation, .., .., .., .., ..
 ,Inbound tourism, , , , , 
 ,Total international arrivals,174 292,169 325,165 477,53 557,46 344 p
 ,Overnight visitors (tourists),77 187,79 746,79 442,19 212,22 100 p
 ,Same-day visitors (excursionists),97 105,89 579,86 035,34 345,24 244 p
 ,Top markets, , , , , 
 ,Mexico,17 788,18 387,18 328,7 042 e,9 700 p
 ,Canada,20 493,21 475,20 720,4 809 e,2 331 p
 ,Colombia, 842, 943, 944, 270,1 064 f
 ,United Kingdom,4 483,4 659,4 780, 730, 461 f
 ,India,1 285,1 378,1 474, 336, 433 f
 ,Nights in all types of accommodation,404 677,405 682,411 164,95 783 p,95 783
 ,Hotels and similar establishments,208 138,212 207,215 359,38 765 p,38 765
 ,Other collective establishments,17 050,18 546,17 227,3 445 p,3 445
 ,Private accommodation,179 489,174 930,178 578,53 573 p,53 573
 ,Outbound tourism, , , , , 
 ,Total international departures,148 017,148 083,158 092,61 703 p, ..
 ,Overnight visitors (tourists),87 619,93 137,99 755,33 499,49 097
 ,Same-day visitors (excursionists),60 398,54 946 |,58 336,28 203, ..
 ,Top destinations, , , , , 
 ,Mexico,35 050,36 923,39 942 p,21 729,28 789
 ,Canada,14 242,14 440,14 994 p,1 929,2 093
 ,Dominican Republic,2 721,2 882,2 957,1 014, ..
 ,Jamaica,1 571,1 629,1 927, 640, ..
 ,United Kingdom,3 756,3 927,3 943, 620, ..
 ,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
 ,Inbound tourism, , , , , 
 ,Total international receipts,233 759,241 985,239 446,84 206,80 956
 ,International travel receipts,196 469,200 724,198 982,72 481,68 759
 ,International passenger transport receipts,37 290,41 261,40 082,11 393,12 197
 ,Outbound tourism, , , , , 
 ,Total international expenditure,158 290,176 817,186 080,48 840,74 121
 ,International travel expenditure,117 931,125 717,132 271,34 159,57 940
 ,International passenger transport expenditure,40 359,50 678,52 795,13 032,16 181
..,Not available,,,,,
|,Break in series,,,,,
e,Estimated value,,,,,
f,Forecast value,,,,,
p,Provisional data,,,,,
Source: OECD Tourism Statistics (Database).,,,,,,
